Aintree	Aint
Cagnes Sur Mer	Cagnes
Chantilly	Chant
Clairfontaine	Cfont
Compiegne	Comp
Deauville	Deau
Dieppe	Dieppe
Enghien-Soisy	Engh
Longchamp	Long
Lyon Parilly	Lyon
Maisons-Laffite	MLaff
Pau	Pau
Saint-Cloud	Saint
Toulouse	Toul
Vichy	Vichy
Vincennes	Vincen

Baden-Baden	Baden
Bremen	Brem
Cologne	Col
Dortmund	Dort
Dusseldorf	Duss
Frankfurt	Frank
Hamburg	Hamb
Hannover	Hann
Krefeld	Kref
Munich	Munich
Neuss	Neuss

Nad Al Sheba	Nad Al
Jebel Ali	Jebel
Meydan	Meydan

